RKB8280;Gjeller S›;Lemvig Kommune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;Klok;Dybde;Pr›vetype;Attribut;Ph;Attribut;Farvetal-pt;Attribut;Suspenderede stoffer;Attribut;T›rstof, susp.stof;Attribut;Gl›detab,susp.stof;Attribut;Alkalinitet,total ta;Attribut;Kem.iltf. cod,ss;Attribut;Ammoniak+ammonium-n;Attribut;Nitrit+nitrat-n;Attribut;Nitrogen,total;Attribut;Orthophosphat,filt;Attribut;Chlorid;Attribut;Phosphor, total-p;Attribut;Orthophosphat-p,filt;Attribut;Jern;Attribut;Silicium;Attribut;Silicium,filt;Attribut;Sulfat;Attribut;Kem.iltf. cod partk.;Attribut;Chlorophyl a;Attribut;Chlorophyl(ukorr.)
;;cm;;;pH;;æg/l;;æg/l;;æg/l;;æg/l;;mmol/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l;;æg/l
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-07-1979;1200;20;4;;8.82;;;;130000;;;;;;1.7;;;;170;;670;;3600;;0;;9000000;;50;;;;;;;;;;;;;;62;;
17-07-1979;1200;50;0;;8.8;;;;;;130000;;;;1.7;;;;170;;670;;3600;;;;;;50;;10;;;;;;2100;;;;;;62;;
17-07-1979;1200;170;4;;8.82;;;;105000;;;;;;1.66;;;;190;;650;;3700;>;0;;8900000;;40;;;;;;;;;;;;;;38;;
10-03-1988;1200;0;4;;7.99;;;;15000;;;;;;1.38;;;;20;;395;;2550;;;;;;37;;3.5;;;;3600;;;;;;4350;;9.9;;
19-05-1988;1200;0;4;;7.82;;;;12500;;;;;;1.8;;;;3;;1800;;2500;;;;;;64;<;1;;;;400;;;;;;;;10.5;;
05-07-1988;1200;0;4;;8.04;;;;60000;;;;;;2.03;;;;8.5;;2050;;3200;;;;;;100;;2.5;;;;5900;;;;;;15500;;34;;
04-10-1988;1200;0;4;;8.49;;;;48000;;;;;;1.87;;;<;1;<;10;;3100;;;;;;150;<;1;;;;8500;;;;;;18000;;76;;
25-01-1989;1200;20;4;;7.72;;;;;;;;;;;;;;310;;310;;1400;;13;;9000000;;53;;;;;;;;;;;;;;;;
