StationID, Filepath, Item, bridge
6, HeadObservations.dfs0, 6, dfs Timeseries Bridge
7, HeadObservations.dfs0, 7, dfs Timeseries Bridge
8, HeadObservations.dfs0, 8, dfs Timeseries Bridge
9, HeadObservations.dfs0, 9, dfs Timeseries Bridge
11, HeadObservations.dfs0, 11, dfs Timeseries Bridge
12, HeadObservations.dfs0, 12, dfs Timeseries Bridge
19, HeadObservations.dfs0, 19, dfs Timeseries Bridge
21, HeadObservations.dfs0, 21, dfs Timeseries Bridge
22, HeadObservations.dfs0, 22, dfs Timeseries Bridge
24, HeadObservations.dfs0, 24, dfs Timeseries Bridge
25, HeadObservations.dfs0, 25, dfs Timeseries Bridge
27, HeadObservations.dfs0, 27, dfs Timeseries Bridge
34, HeadObservations.dfs0, 34, dfs Timeseries Bridge
35, HeadObservations.dfs0, 35, dfs Timeseries Bridge
36, HeadObservations.dfs0, 36, dfs Timeseries Bridge
37, HeadObservations.dfs0, 37, dfs Timeseries Bridge
38, HeadObservations.dfs0, 38, dfs Timeseries Bridge
39, HeadObservations.dfs0, 39, dfs Timeseries Bridge
41, HeadObservations.dfs0, 41, dfs Timeseries Bridge
44, HeadObservations.dfs0, 44, dfs Timeseries Bridge
45, HeadObservations.dfs0, 45, dfs Timeseries Bridge
46, HeadObservations.dfs0, 46, dfs Timeseries Bridge
47, HeadObservations.dfs0, 47, dfs Timeseries Bridge
49, HeadObservations.dfs0, 49, dfs Timeseries Bridge
51, HeadObservations.dfs0, 51, dfs Timeseries Bridge
52, HeadObservations.dfs0, 52, dfs Timeseries Bridge
54, HeadObservations.dfs0, 54, dfs Timeseries Bridge
55, HeadObservations.dfs0, 55, dfs Timeseries Bridge
56, HeadObservations.dfs0, 56, dfs Timeseries Bridge
62, HeadObservations.dfs0, 62, dfs Timeseries Bridge
63, HeadObservations.dfs0, 63, dfs Timeseries Bridge
64, HeadObservations.dfs0, 64, dfs Timeseries Bridge
65, HeadObservations.dfs0, 65, dfs Timeseries Bridge
66, HeadObservations.dfs0, 66, dfs Timeseries Bridge
69, HeadObservations.dfs0, 69, dfs Timeseries Bridge
72, HeadObservations.dfs0, 72, dfs Timeseries Bridge
74, HeadObservations.dfs0, 74, dfs Timeseries Bridge
75, HeadObservations.dfs0, 75, dfs Timeseries Bridge
78, HeadObservations.dfs0, 78, dfs Timeseries Bridge
